orgid,ein,charity_name,category,city,state,efficiency_rating_star,affiliate_payments,admin_expense,total_revenue,program_expense,other_revenue,capacity_rating,program_expense_percent,primary_revenue_growth,fund_efficiency,cause,tag_line,overall_rating,website,total_functional_expense,leader_comp,program_expense_growth,net_assets,efficiency_rating,leader_comp_percent,capacity_rating_star,budget_surplus,admin_expense_percent,fund_expense,primary_revenue,url,fund_expense_percent,email,working_capital_ratio,overall_rating_star
3414,31-0887133,Charleston Area Medical Center Foundation,Public Benefit,Charleston,WV,0,0,1728056,-7147793,3303902,-8339994,15.76,60.4,-19.6,0.36,Fundraising Organizations,Helping CAMC touch people's lives every day,34.30,http://www.camc.org/foundation/,5464464,192204,5.7,118993534,18.54,3.51,2,-12612257,31.6,432506,1192201,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3414,7.9,camcfoundation@camc.org,18.27,1
10474,57-6000192,Charleston Symphony Orchestra,"Arts, Culture, Humanities",Charleston,SC,3,0,425064,2581197,2112491,0,8.23,82.4,1.3,0.01,Performing Arts,Part of Charleston's cultural fabric since 1936,43.97,http://www.charlestonsymphony.com,2562875,93491,0.3,71536,35.74,3.64,1,18322,16.5,25320,2581197,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10474,0.9,info@charlestonsymphony.com,0.02,2
6273,56-0623935,Charlotte Country Day School,Education,Charlotte,NC,1,0,8689489,35395004,26234135,-1644192,25.35,72.0,4.9,0.33,Private Elementary and Secondary Schools,A once in a lifetime experience. Every day.,52.56,http://www.charlottecountryday.org/,36392418,365000,9.1,75625370,27.20,1.00,4,-997414,23.8,1468794,37039196,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6273,4.0,advancement@charlottecountryday.org,1.65,3
7861,56-0571223,Charlotte Rescue Mission,Human Services,Charlotte,NC,0,0,395991,4833234,2585587,40670,19.24,62.0,5.3,0.25,Homeless Services,Ministering the good news of Christianity,40.45,http://www.charlotterescuemission.org,4164651,89485,2.6,3564157,21.20,2.14,3,668583,9.5,1183073,4792564,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7861,28.4,timt@charlotterescuemission.org,0.85,2
7191,56-6011568,Charlotte Symphony Orchestra,"Arts, Culture, Humanities",Charlotte,NC,3,0,1213299,6931558,6872954,122487,12.05,79.6,1.9,0.13,Performing Arts,Performing a broad range of orchestral music at the highest standards,46.02,http://www.charlottesymphony.org,8627694,134000,6.1,4558274,33.96,1.55,1,-1696136,14.0,541441,6809071,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7191,6.2,mikew@charlottesymphony.org,-0.35,2
7855,54-0505878,Chatham Hall,Education,Chatham,VA,4,0,902810,37064518,7468852,-3006799,30.00,86.2,64.9,0.00,Private Elementary and Secondary Schools,An all-girls college preparatory boarding school,68.62,http://www.chathamhall.org/,8664022,186500,12.6,70911628,38.62,2.15,4,28400496,10.4,292360,40071317,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7855,3.3,mfountain@chathamhall.org,3.20,4
6323,62-0867645,Chattanooga Area Food Bank,Human Services,Chattanooga,TN,4,7892,85956,15570654,14847392,9961,23.49,98.2,8.4,0.01,"Food Banks, Food Pantries, and Food Distribution",Giving hope to the hungry,63.32,http://www.chattfoodbank.org,15107395,52492,5.9,3557234,39.82,0.34,4,463259,0.5,174047,15560693,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6323,1.1,info@chattfoodbank.org,0.23,4
3466,62-1536731,Chattanooga Christian Community Foundation,Public Benefit,Chattanooga,TN,4,0,123536,4985663,5947228,-154586,11.59,97.7,-3.5,0.00,Community Foundations,Making a difference for now . . .and for eternity,51.36,http://www.cccfdn.org,6085502,103162,-0.7,29938153,39.77,1.69,1,-1099839,2.0,14738,5140249,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3466,0.2,info@cccfdn.org,4.71,3
8696,62-0627921,Cheekwood Botanical Garden & Museum of Art,"Arts, Culture, Humanities",Nashville,TN,3,0,790419,4375851,4584641,46344,7.50,77.5,-8.0,0.21,Museums,Inspiring and educating a diverse audience,40.23,http://www.cheekwood.org,5908280,191217,-2.1,20143363,32.73,3.23,1,-1532429,13.3,533220,4329507,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8696,9.0,membership@cheekwood.org,2.96,2
6617,31-1726923,Cheetah Conservation Fund,Animals,Alexandria,VA,2,0,97757,1428192,871591,92898,8.80,76.2,0.0,0.12,Wildlife Conservation,Conserving cheetahs and their ecosystems,38.93,,1142841,48000,-11.7,617733,30.12,4.20,1,285351,8.5,173493,1335294,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6617,15.1,,0.49,1
9669,73-6103406,Cherokee National Historical Society,"Arts, Culture, Humanities",Park Hill,OK,3,0,362796,2638173,1790537,133035,25.00,78.7,7.0,0.05,"Libraries, Historical Societies and Landmark Preservation",Preserving the history and culture of the Cherokee people,60.37,,2275001,,10.1,1688527,35.37,,4,363172,15.9,121668,2505138,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9669,5.3,,0.58,4
9210,34-1133369,Cherry Street Mission Ministries,Human Services,Toledo,OH,2,0,550444,5747605,3616670,-7235,25.00,70.0,21.9,0.17,Homeless Services,"Rescuing, restoring, releasing . . .serving God one life at a time",54.50,http://cherrystreetmission.org/,5163111,92789,21.3,2213585,29.50,1.79,4,584494,10.6,995997,5754840,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9210,19.2,info@cherrystreetmission.org,0.37,3
3467,52-6065757,Chesapeake Bay Foundation,Environment,Annapolis,MD,3,0,1805811,17027043,18116365,-2612477,14.58,79.9,-8.0,0.14,Environmental Protection and Conservation,Saving a national treasure,47.58,http://www.cbf.org,22655145,168670,4.5,64552548,32.99,0.74,2,-5628102,7.9,2732969,19639520,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3467,12.0,members@cbf.org,1.14,2
6844,23-7051889,Chesapeake Bay Maritime Museum,"Arts, Culture, Humanities",St. Michaels,MD,3,0,477902,838033,3547741,-1851096,20.86,82.0,1.2,0.15,Museums,Furthering appreciation and understanding of the culture and maritime heritage of the Chesapeake Bay,54.71,http://www.cbmm.org/,4322683,137995,3.9,19684263,33.85,3.19,3,-3484650,11.0,297040,2689129,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6844,6.8,krattie@cbmm.org,2.51,3
6227,52-1454182,Chesapeake Bay Trust,Environment,Annapolis,MD,4,0,301780,4957654,5012315,354081,30.00,90.8,15.2,0.04,Environmental Protection and Conservation,Promoting protection and restoration of the Chesapeake Bay and its rivers,68.02,http://www.cbtrust.org,5519523,125081,14.4,7418777,38.02,2.26,4,-561869,5.4,205428,4603573,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6227,3.7,hadams@cbtrust.org,1.34,4
10445,13-6119036,Chess-in-the-Schools,Education,New York,NY,3,0,373066,1317148,2774368,-1772957,13.80,80.1,-16.8,0.10,Other Education Programs and Services,Helping kids grow one move at a time,49.32,http://www.chessintheschools.org/,3461420,244157,3.8,10974059,35.51,7.05,2,-2144272,10.7,313986,3090105,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10445,9.0,info@chessintheschools.org,3.14,2
8291,36-3286520,The CHEST Foundation,Health,Northbrook,IL,3,0,210334,640598,1549959,-1167177,17.50,84.9,14.0,0.03,Treatment and Prevention Services,Helping you help your patients live and breathe easier,53.89,http://www.chestfoundation.org/,1824948,0,-5.3,5261569,36.39,0,3,-1184350,11.5,64655,1807775,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8291,3.5,chestfoundation@chestnet.org,0.78,3
6816,23-1381030,Chester County SPCA,Animals,West Chester,PA,2,0,257692,1240422,978608,152855,12.98,71.4,-6.5,0.17,"Animal Rights, Welfare, and Services",Bringing animals & people together since 1929,45.12,http://www.ccspca.org/,1370056,,2.9,3752951,32.14,,2,-129634,18.8,133756,1087567,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6816,9.7,development@ccspca.org,2.41,2
5726,84-0407039,Cheyenne Mountain Zoo,Animals,Colorado Springs,CO,3,0,1164708,7622490,6111690,611579,26.57,78.1,2.8,0.20,Zoos and Aquariums,Connecting people with wildlife,59.38,http://www.cmzoo.org,7819536,127432,10.1,25385553,32.81,1.62,4,-197046,14.8,543138,7010911,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5726,6.9,membership@cmzoo.org,3.23,3
10219,94-3248671,Chez Panisse Foundation,Education,Berkeley,CA,4,0,117307,1184653,1293995,127805,27.13,85.9,3.4,0.09,Other Education Programs and Services,Cultivating a new generation,65.72,http://www.chezpanissefoundation.org/,1505377,35000,12.1,3126173,38.59,2.32,4,-320724,7.7,94075,1056848,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10219,6.2,info@chezpanissefoundation.org,2.07,4
11674,52-0846183,CHF International,International,Silver Spring,MD,4,0,17264598,225150394,222370610,1547509,25.00,91.5,10.5,0.01,Development and Relief Services,Building a better world,64.15,http://www.chfinternational.org/,242869038,445596,12.1,73626322,39.15,0.18,4,-17718644,7.1,3233830,223602885,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11674,1.3,donate@chfinternational.org,0.30,4
12219,59-2017124,The Chi Chi Rodriguez Youth Foundation,Education,Clearwater,FL,3,0,191024,2090397,1790998,199670,26.34,83.6,4.6,0.24,Other Education Programs and Services,Preparing students for the game of life,59.71,http://www.chichi.org/foundation/learning_links.htm,2141034,70052,8.0,3294131,33.36,3.27,4,-50637,8.9,159012,1890727,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12219,7.4,info@chichi.org,1.53,3
3468,36-0895575,Chicago Academy of Sciences,"Arts, Culture, Humanities",Chicago,IL,3,0,1836659,5634173,5970709,198173,13.62,73.5,-6.8,0.07,Museums,"Nature and science education for Chicago students, teachers, and families",47.55,http://www.naturemuseum.org/,8118173,15138,4.8,14959000,33.92,0.18,2,-2484000,22.6,310805,5436000,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3468,3.8,membership@naturemuseum.org,1.68,2
9218,36-3707338,Chicago Anti-Hunger Federation,Human Services,Chicago,IL,1,0,147479,1712310,1130890,243624,10.00,79.3,-7.9,0.10,"Food Banks, Food Pantries, and Food Distribution",Dedicated to alleviating hunger in metropolitan Chicago,32.93,http://www.antihunger.org/,1425378,84375,-12.5,462292,22.93,5.91,1,286932,10.3,147009,1468686,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9218,10.3,khoward@antihunger.org,0.32,1
10239,36-3969334,Chicago Arts Partnerships in Education,Education,Chicago,IL,4,0,203668,1727461,1234442,26592,19.14,81.0,12.4,0.06,Other Education Programs and Services,Advancing the arts to improve teaching and learning,57.24,http://www.capeweb.org,1523000,,1.6,845917,38.10,,3,204461,13.3,84890,1700869,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10239,5.5,info@capeweb.org,0.55,3
3470,36-2225482,Chicago Botanic Garden,Environment,Glencoe,IL,3,0,4337757,35639725,29341102,-109757,22.55,78.9,4.8,0.12,"Botanical Gardens, Parks, and Nature Centers","Promoting the enjoyment, understanding, and conservation of plants and the natural world",57.94,http://www.chicagobotanic.org,37161058,335074,6.5,120790539,35.39,0.90,4,-1521333,11.6,3482199,35749482,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3470,9.3,membershipweb@chicagobotanic.org,2.71,3
9158,36-3777709,Chicago Cares,Public Benefit,Chicago,IL,4,0,170387,3478103,2665512,4646,27.50,87.9,15.6,0.05,Community and Housing Development,People are the Answer. Volunteer.,66.29,http://www.chicagocares.org,3030305,130074,14.8,2009879,38.79,4.29,4,447798,5.6,194406,3473457,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9158,6.4,info@chicagocares.org,0.66,4
6953,36-3162484,Chicago Children's Museum,"Arts, Culture, Humanities",Chicago,IL,1,0,946258,9633190,6802164,821819,30.00,73.4,3.9,0.22,Museums,Where play and learning connect,57.34,http://www.chichildrensmuseum.org/,9263199,191825,9.2,43146772,27.34,2.07,4,369991,10.2,1514777,8811371,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6953,16.3,ccmstore@eventnetwork.us,4.56,3
8142,36-3292607,Chicago Coalition for the Homeless,Human Services,Chicago,IL,4,0,122708,1820816,1404129,138767,23.46,85.0,7.7,0.07,Homeless Services,Fighting for the human right to housing since 1980,61.97,http://www.chicagohomeless.org,1650115,93117,5.9,1282097,38.50,5.64,4,170701,7.4,123278,1682049,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8142,7.4,info@chicagohomeless.org,0.77,4
9047,36-2181969,The Chicago Council on Global Affairs,International,Chicago,IL,2,0,1153635,6233503,5863451,135618,20.00,74.2,-6.1,0.17,"International Peace, Security, and Affairs",Bringing Chicago's ideas and opinions to the world,52.42,http://www.thechicagocouncil.org/,7900754,441586,10.8,9949648,32.42,5.58,3,-1667251,14.6,883668,6097885,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9047,11.1,info@thechicagocouncil.org,1.18,3
10054,36-3348160,Chicago Foundation for Women,Public Benefit,Chicago,IL,2,0,106585,1962005,2119745,151917,5.00,79.9,-7.6,0.23,Advocacy and Civil Rights,Helping women and girls succeed,32.99,http://www.cfw.org/,2650615,6250,-0.5,4973791,27.99,0.23,1,-688610,4.0,424285,1810088,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10054,16.0,info@cfw.org,0.37,1
9049,36-3764084,Chicago Gateway Green,Environment,Chicago,IL,1,0,121456,729286,719227,-58686,5.00,70.2,-14.7,0.23,Environmental Protection and Conservation,"Dedicated to greening and beautifying Chicago's expressways, gateways and neighborhoods.",29.10,http://www.gatewaygreen.org,1024203,90000,-18.9,360450,24.10,8.78,1,-294917,11.8,183520,787972,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9049,17.9,info@gatewaygreen.org,0.35,1
3469,36-2167004,Chicago History Museum,"Arts, Culture, Humanities",Chicago,IL,1,0,6812511,13494685,9597656,5125955,8.41,55.6,-11.3,0.13,Museums,Telling the stories of the city and its people,33.38,http://www.chicagohs.org,17234800,319683,0.0,51965981,24.96,1.85,1,-3740115,39.5,824633,8368730,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3469,4.7,info@chicagohistory.org,2.61,1
10786,36-2169139,The Chicago Lighthouse,Human Services,Chicago,IL,2,0,2988416,11321839,11242086,-753679,10.00,73.2,-5.4,0.15,Social Services,"Since 1906, seeing what's possible",42.10,http://www.thechicagolighthouse.org/,15337338,88172,-3.1,30208683,32.10,0.57,1,-4015499,19.4,1106836,12075518,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10786,7.2,dschlies@chicagolighthouse.org,1.87,2
5278,36-4279013,The Chicago Public Education Fund,Education,Chicago,IL,4,0,339502,16546645,4880250,144939,30.00,85.8,55.4,0.02,Other Education Programs and Services,A venture capital fund for public education,68.58,http://www.thefundchicago.org/,5681536,341620,32.0,19187897,38.58,6.01,4,10865109,5.9,461784,16401706,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5278,8.1,info@thefundchicago.org,3.37,4
10691,36-3480353,Chicago Public Library Foundation,"Arts, Culture, Humanities",Chicago,IL,3,0,467817,4076876,3546730,263045,27.50,79.1,26.6,0.12,"Libraries, Historical Societies and Landmark Preservation","Supporting the freedom of all Chicagoans to read, to learn and to discover",60.41,http://www.chicagopubliclibraryfoundation.org/,4483564,185400,20.0,26231425,32.91,4.13,4,-406688,10.4,469017,3813831,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10691,10.4,nlynn@cplfoundation.org,3.92,4
4702,36-3687394,Chicago Public Radio,"Arts, Culture, Humanities",Chicago,IL,4,0,1090058,20919062,15434177,350244,21.42,76.6,2.1,0.19,Public Broadcasting and Media,Offering programs that speak with many voices to community needs,59.09,http://www.chicagopublicradio.org,20142886,190180,8.0,15301323,37.66,0.94,3,776176,5.4,3618651,20568818,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4702,17.9,membership@ChicagoPublicRadio.org,0.75,3
5268,36-3467607,Chicago Shakespeare Theater,"Arts, Culture, Humanities",Chicago,IL,3,0,1272955,11512696,10516505,-303038,15.39,82.4,1.7,0.19,Performing Arts,Engaging and entertaining audiences,51.13,http://www.chicagoshakes.com,12759179,293633,2.1,8981307,35.74,2.30,2,-1246483,9.9,969719,11815734,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5268,7.6,advancement@chicagoshakes.com,0.70,3
3471,36-2167823,Chicago Symphony Orchestra,"Arts, Culture, Humanities",Chicago,IL,3,0,11609787,55934771,56288624,-375211,21.58,78.9,1.2,0.13,Performing Arts,Rich in tradition. Innovative in vision.,54.47,http://www.cso.org,71309997,486684,6.3,206985176,32.89,0.68,3,-15375226,16.2,3411586,56309982,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3471,4.7,ptitterington@cso.org,1.89,3
3473,36-2344429,Chicago Youth Centers,Human Services,Chicago,IL,4,0,1143991,9385772,9712031,-473048,16.45,86.3,0.9,0.04,"Youth Development, Shelter, and Crisis Services",Caring for young Chicago,55.09,http://www.chicagoyouthcenters.org,11242240,231832,9.2,5081919,38.63,2.06,2,-1856468,10.1,386218,9858820,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3473,3.4,kate.chappell@chicagoyouthcenters.org,0.06,3
3474,36-2167016,Chicago Zoological Society,Animals,Brookfield,IL,4,0,4908977,64116777,54607440,9962925,28.03,87.9,10.0,0.07,Zoos and Aquariums,Inspiring conservation leadership,66.82,http://www.brookfieldzoo.org,62096671,402455,8.0,134870213,38.79,0.64,4,2020106,7.9,2580254,54153852,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3474,4.1,member.questions@brookfieldzoo.org,2.06,4
7066,51-0168112,CHIEF,Religion,Phoenix,AZ,3,0,135009,795973,655733,47514,5.20,82.8,-4.3,0.00,Religious Activities,Discipling strong Native American leaders,40.94,http://www.chief.org/,791141,71691,0.2,553311,35.74,9.06,1,4832,17.0,399,748459,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7066,0.0,chiefinc@aol.com,0.26,2
9970,36-4302941,Child & Adolescent Bipolar Foundation,Health,Evanston,IL,3,0,13577,672336,482617,367,23.42,86.5,11.0,0.09,"Diseases, Disorders, and Disciplines","Support, empower, advocate, create, educate, inspire, heal",59.58,http://www.bpkids.org,557865,84894,6.7,247256,36.15,15.21,4,114471,2.4,61671,671969,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9970,11.0,cabf@bpkids.org,0.44,3
6543,76-0111345,Child Advocates,Human Services,Houston,TX,4,0,306619,3585924,2792975,22334,23.23,81.6,6.9,0.09,Children's and Family Services,Houston's leading voice for the rights of abused children,61.39,http://www.childadvocates.org/,3421975,117440,5.7,6430000,38.16,3.43,4,163949,8.9,322381,3563590,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6543,9.4,development@childadvocates.org,0.69,4
8219,33-0317937,Child Aid,International,Portland,OR,4,0,66263,1558219,1437859,75639,27.50,93.6,19.5,0.02,Development and Relief Services,Building brighter futures,66.86,http://www.child-aid.org,1535892,73700,27.1,866634,39.36,4.79,4,22327,4.3,31770,1482580,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8219,2.0,info@child-aid.org,0.56,4
10230,86-0407090,Child Crisis Center,Human Services,Mesa,AZ,3,0,974560,5903892,5067831,393584,25.67,81.0,4.4,0.09,Children's and Family Services,"Strong families, safe kids",61.28,,6249169,127759,10.4,4696760,35.60,2.04,4,-345277,15.5,206778,5510308,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10230,3.3,,0.75,4
6164,38-6091187,Child Evangelism Fellowship,Religion,Warrenton,MO,2,0,4120028,15185237,10687538,503637,23.07,66.2,4.0,0.09,Religious Activities,Reaching children worldwide,52.19,,16130424,0,9.6,5183393,29.12,0,4,-945187,25.5,1322858,14681600,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6164,8.2,,0.31,3
7642,94-3145385,Child Family Health International,International,San Francisco,CA,4,0,118480,3990573,4007113,22219,27.50,95.5,28.8,0.02,Humanitarian Relief Supplies,Advancing quality healthcare for all,67.05,http://www.cfhi.org,4194143,82803,35.4,213690,39.55,1.97,4,-203570,2.8,68550,3968354,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7642,1.6,info@cfhi.org,0.07,4
11023,93-1148608,Child Foundation,International,Portland,OR,4,0,176828,2020458,1602129,1124,15.00,86.2,7.9,0.03,Development and Relief Services,Changing the face of the future . . .one child at a time,53.62,,1857064,,-3.8,509206,38.62,,2,163394,9.5,78107,2019334,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11023,4.2,,0.27,3
6488,13-1641066,Child Welfare League of America,Human Services,Arlington,VA,3,0,1410308,8565645,6645613,830958,0.00,80.3,-11.7,0.04,Children's and Family Services,Making children and families a national priority,34.32,http://www.cwla.org/,8271050,248060,-15.7,-496932,34.32,2.99,0,294595,17.0,215129,7734687,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6488,2.6,pdonnelly@cwla.org,-0.29,1
3475,95-3619910,Childcare Worldwide,International,Bellingham,WA,4,0,213004,16377809,15895880,11180,19.90,96.8,5.0,0.01,Development and Relief Services,Helping children survive & succeed,59.59,,16407209,77217,6.1,1918406,39.68,0.47,3,-29400,1.2,298325,16366629,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3475,1.8,,0.11,3
3499,54-0536100,ChildFund International,International,Richmond,VA,3,67122,16984710,217412844,166104298,10901,10.99,81.0,2.2,0.10,Development and Relief Services,We help vulnerable children along life's journey,44.10,http://www.childfund.org/,204977788,255824,-0.8,50478141,33.10,0.12,1,12435056,8.2,21888780,217401943,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3499,10.6,questions@childfund.org,0.20,2
7381,91-0402430,Childhaven,Human Services,Seattle,WA,3,0,911416,8559719,9314963,-308901,22.55,84.3,0.2,0.17,Children's and Family Services,Breaking the cycle of abuse and neglect,57.93,http://www.childhaven.org/,11041768,131500,8.5,16958123,35.38,1.19,4,-2482049,8.2,815389,8868620,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7381,7.3,hr@childhaven.org,1.49,3
3477,95-2884608,Childhelp,Human Services,Scottsdale,AZ,3,0,1679469,35783860,35455449,-251427,19.93,90.0,11.1,0.24,Children's and Family Services,For the love of a child,53.17,http://www.childhelp.org,39355549,330945,9.9,-2046703,33.23,0.84,3,-3571689,4.2,2220631,36035287,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3477,5.6,donorservices@Childhelp.org,-0.05,3
5459,52-1825483,Childhood Leukemia Foundation,Health,Brick,NJ,0,0,184335,2700603,1307182,-4271,27.50,48.8,8.1,0.43,"Diseases, Disorders, and Disciplines",Lifting spirits,44.88,http://www.clf4kids.org,2674355,149573,19.0,1778640,17.38,5.59,4,26248,6.8,1182838,2704874,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5459,44.2,contact@clf4kids.org,0.66,2
7934,95-4448687,Children Affected by AIDS Foundation,Health,Los Angeles,CA,3,0,75889,1420483,1086477,347209,5.18,84.9,-1.0,0.10,"Diseases, Disorders, and Disciplines",Making a positive difference in the lives of children affected by AIDS,40.83,http://www.caaf4kids.org/,1279322,103987,-3.9,156638,35.64,8.12,1,141161,5.9,116956,1073274,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7934,9.1,caaf@caaf4kids.org,0.12,2
10585,13-3880287,Children for Children,Human Services,New York,NY,4,0,35217,2168351,1965726,128345,27.50,89.4,29.6,0.09,Children's and Family Services,Grow involved,66.44,http://childrenforchildren.org,2197117,135000,41.4,2045925,38.94,6.14,4,-28766,1.6,196174,2040006,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10585,8.9,celebrate@childrenforchildren.org,0.93,4
3479,44-6005794,Children International,International,Kansas City,MO,3,0,9664559,146160976,114949143,197598,22.13,80.6,7.6,0.12,Development and Relief Services,Helping overcome poverty through child sponsorship,55.19,http://www.children.org,142540054,423114,7.1,40990337,33.06,0.29,3,3620922,6.7,17926352,145963378,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3479,12.5,children@children.org,0.28,3
6370,77-0018357,Children of The Americas,International,Trabuco Canyon,CA,4,0,16242,949633,922266,0,19.77,96.5,7.3,0.01,Humanitarian Relief Supplies,Over 30 years of loving children ... one child at a time,59.40,http://www.americaschildren.org,955046,54000,7.2,11644,39.62,5.65,3,-5413,1.7,16538,949633,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6370,1.7,4kids@americaschildren.org,0.01,3
8392,91-1702551,Children of the Nations,International,Silverdale,WA,4,0,374017,5394983,4680747,3680,25.00,87.5,19.9,0.05,Development and Relief Services,Raising children who transform nations,63.75,,5345730,60000,35.6,1158431,38.75,1.12,4,49253,6.9,290966,5391303,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8392,5.4,,0.21,4
6611,95-3130408,Children of the Night,Human Services,Van Nuys,CA,4,0,122391,1957729,1554013,11668,10.25,86.1,-1.3,0.06,"Youth Development, Shelter, and Crisis Services",Rescuing America's children from prostitution,48.52,http://www.childrenofthenight.org,1803526,208430,0.3,1531127,38.26,11.55,1,154203,6.7,127122,1946061,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6611,7.0,llee@childrenofthenight.org,0.84,2
12339,38-3537982,Children With Hairloss,Health,South Rockwood,MI,0,0,28117,1072545,273956,19159,22.50,24.5,16.8,0.77,"Diseases, Disorders, and Disciplines",Help us cover young heads to heal young hearts,22.50,http://www.childrenwithhairloss.us/,1114017,23800,69.9,219524,0.00,2.13,4,-41472,2.5,811944,1053386,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12339,72.8,regina@childrenwithhairloss.us,0.19,0
3478,54-0761510,"Children, Incorporated",International,Richmond,VA,3,0,581693,5647256,5641577,-634255,10.27,81.9,-0.9,0.10,Development and Relief Services,Share in their future,45.23,http://www.children-inc.org,6882116,102103,0.0,3735703,34.95,1.48,1,-1234860,8.4,658846,6281511,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3478,9.5,sponsorship@children-inc.org,0.52,2
3480,13-5562191,The Children's Aid Society,Human Services,New York,NY,4,0,7003187,80299141,103672222,-13686545,28.81,91.1,6.9,0.09,Children's and Family Services,Ensuring the physical and emotional well being of children and families,67.70,http://www.childrensaidsociety.org,113733710,511053,8.8,219096695,38.89,0.44,4,-33434569,6.1,3058301,93985686,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3480,2.6,donate@childrensaidsociety.org,1.87,4
6589,76-0458780,The Children's Assessment Center Foundation,Human Services,Houston,TX,4,0,121144,2674843,1637824,983217,22.45,88.0,11.3,0.05,Children's and Family Services,Providing a safe haven to sexually abused children and their families,61.26,http://www.cachouston.org/,1859479,0,2.4,20294234,38.80,0,3,815364,6.5,100511,1691626,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6589,5.4,give@cac.co.harris.tx.us,10.88,4
6698,11-1834468,Children's Bible Fellowship of New York,Religion,Carmel,NY,3,4330,147167,1050532,785609,2759,8.89,81.5,0.1,0.03,Religious Activities,Making disciples of New York's forgotten fields,44.55,,963607,10800,-5.9,387447,35.65,1.12,1,86925,15.2,30831,1047773,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6698,3.1,,0.40,2
